"ensemble","ensemble.size","accuracy"
"rf,adabag,knn,glmnet,pda,rfrules,gbm,rfferns",8,0.51165889407062
"rfrules,adabag",2,0.473017988007995
"knn,rf,multinom,rfrules",4,0.524317121918721
"glmnet,rfrules,rf,rfferns,knn,gbm,adabag,pda",8,0.509660226515656
"adabag,rfferns",2,0.484343770819454
"adabag,rfferns,multinom,rf,glmnet",5,0.503331112591606
"knn,rf,multinom,rfferns,rfrules,adabag,glmnet",7,0.514323784143904
"rf,gbm,glmnet,pda,adabag,rfferns",6,0.508660892738175
"rf,gbm,knn,adabag,rfrules",5,0.523317788141239
"knn,rfrules,rfferns,glmnet,rf,gbm,pda",7,0.51765489673551
"pda,gbm,rfrules,knn",4,0.508660892738175
"pda,multinom,rfferns,glmnet",4,0.498667554963358
"rf,knn",2,0.542638241172552
"glmnet,rf,gbm,rfrules,pda",5,0.515656229180546
"knn,multinom,rf,rfferns,adabag",5,0.51798800799467
"rf,glmnet,gbm,multinom,pda,knn,rfrules",7,0.51765489673551
"adabag,multinom,pda,rfferns,gbm,rf,rfrules,glmnet,knn",9,0.509327115256496
"rfferns,rfrules,pda",3,0.384077281812125
"multinom,adabag",2,0.500333111259161
"multinom,knn,rfrules,rf,gbm,adabag,pda",7,0.515989340439707
"pda,rfferns,rfrules,glmnet,multinom,gbm,knn,rf,adabag",9,0.514990006662225
"gbm,rfferns,knn,multinom,pda,glmnet",6,0.509993337774817
"knn,multinom,pda,gbm,rfferns,glmnet,adabag",7,0.506995336442372
"rf,knn,multinom,adabag,pda,rfrules,gbm",7,0.519653564290473
"gbm,pda,rf,multinom",4,0.518987341772152
"gbm,rfferns,rfrules,multinom,knn",5,0.513990672884743
"glmnet,knn,multinom,rfrules,gbm",5,0.516655562958028
